pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
16A;2631;l;Geldbeutel;1;Muetze;0
5D;2129;r;Foehn;0;Blackroll;0
13A;3817;l;Buch;1;Laptop;1
24A;2097;l;Kanne;0;Blume;0
25C;3458;r;Kerze;0;Kaffeemuehle;1
17D;2372;r;Erdbeeren;0;Schuh;1
2B;3244;l;Zollstock;0;Locher;1
22A;2362;l;Elefant;0;Feder;0
15A;3901;l;Wasserglas;0;Handtuch;0
26A;2449;l;Gluehbirne;1;Taschenlampe;1
23B;2731;l;Saege;1;Hammer;1
4A;3478;l;Kiste;0;Ventilator;0
3C;3687;r;Stethoskop;0;Fahrradhelm;0
14D;3261;r;Kopfhoerer;0;Ordner;1
10A;2999;l;Buerste;0;Brille;0
19A;2537;l;Trommel;0;Hut;0
6D;3836;r;Globus;1;Obstschale;1
8C;2037;r;Marmelade;1;Uhr;0
12D;3003;r;Kamera;0;Fernglas;0
20B;2759;l;Schuessel;0;Kissen;1
11D;2438;r;Eimer;1;Stuhl;1
9D;2064;r;Tasse;1;Wasserflasche;1
18C;2299;r;Handbesen;0;Ukulele;0
21D;3343;r;Stift;1;Handy;1
7B;2314;l;Thermoskanne;0;Toaster;0
1B;2099;l;Orange;1;Melone;1
