pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
3C;3919;r;Stethoskop;0;Fahrradhelm;0
7D;2023;r;Toaster;0;Thermoskanne;0
20D;2749;r;Kissen;0;Schuessel;0
6C;2318;r;Obstschale;0;Globus;0
9D;3047;r;Tasse;0;Wasserflasche;0
26C;3067;r;Taschenlampe;0;Gluehbirne;0
14A;3337;l;Kopfhoerer;0;Ordner;0
21A;2882;l;Stift;0;Handy;1
16C;3459;r;Muetze;0;Geldbeutel;0
13D;3801;r;Buch;0;Laptop;0
2C;3396;r;Zollstock ;0;Locher;0
18C;2905;r;Handbesen;0;Ukulele;1
17C;3062;r;Schuh;0;Erdbeeren;0
5A;2714;l;Foehn;0;Blackroll;0
24A;2736;l;Kanne;1;Blume;0
25C;2805;r;Kerze;0;Kaffeemuehle;0
4C;2649;r;Ventilator;0;Kiste;0
12C;3336;r;Fernglas;0;Kamera;0
22A;3331;l;Elefant;0;Feder;0
11A;3290;l;Eimer;0;Stuhl;1
23C;2816;r;Hammer;1;Saege;1
15C;3576;r;Handtuch;0;Wasserglas;0
10D;2770;r;Buerste;0;Brille;0
1A;3035;l;Melone;1;Orange;1
8B;3256;l;Marmelade;0;Uhr;0
19C;3056;r;Hut;0;Trommel;0
