pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
5A;3220;l;Foehn;0;Blackroll;0
15A;3769;l;Wasserglas;0;Handtuch;0
23C;2492;r;Hammer;1;Saege;1
20B;2623;l;Schuessel;1;Kissen;0
25C;3781;r;Kerze;0;Kaffeemuehle;0
24A;3184;l;Kanne;0;Blume;1
7A;3061;l;Toaster ;0;Thermoskanne;0
9C;3126;r;Wasserflasche;0;Tasse;0
1B;2762;l;Orange;1;Melone;1
17D;3120;r;Erdbeeren;0;Schuh;1
16B;2623;l;Muetze;1;Geldbeutel;1
18B;3745;l;Handbesen;0;Ukulele;0
22B;2200;l;Feder;0;Elefant;1
10B;3211;l;Brille;1;Buerste;0
26A;2026;l;Gluehbirne;0;Taschenlampe;0
3A;3246;l;Fahrradhelm;0;Stethoskop;0
19A;3197;l;Trommel;0;Hut;0
13C;3162;r;Laptop;1;Buch;1
8D;3189;r;Uhr;1;Marmelade;1
12D;2967;r;Kamera;1;Fernglas;1
4B;3779;l;Ventilator;1;Kiste ;0
2A;2810;l;Locher;0;Zollstock ;0
6C;3630;r;Obstschale;1;Globus;1
21D;2524;r;Stift;1;Handy;0
11B;3908;l;Stuhl;0;Eimer;1
14A;2805;l;Kopfhoerer;0;Ordner;0
