pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
23C;3144;r;Hammer;0;Saege;0
16A;3037;l;Geldbeutel;0;Muetze;0
9C;3010;r;Wasserflasche;0;Tasse;1
15C;3030;r;Handtuch;0;Wasserglas;0
1C;3951;r;Orange;1;Melone;1
4B;2160;l;Ventilator;0;Kiste ;0
17C;3380;r;Schuh;0;Erdbeeren;1
24A;2773;l;Kanne;0;Blume;0
10A;2692;l;Buerste;0;Brille;0
8B;3540;l;Marmelade;0;Uhr;0
12D;3703;r;Kamera;0;Fernglas;0
25B;2708;l;Kerze;0;Kaffemuehle;0
19A;3486;l;Trommel;0;Hut;0
13C;2522;r;Laptop;1;Buch;1
11C;2944;r;Stuhl;1;Eimer;1
14C;3491;r;Ordner;0;Kopfhoerer;1
22C;3629;r;Feder;0;Elefant;0
5B;2441;l;Blackroll;1;Foehn;0
26B;3886;l;Taschenlampe;1;Gluehbirne;1
20D;2321;r;Kissen;0;Schuessel;1
2A;3153;l;Locher;0;Zollstock ;0
18C;2375;r;Handbesen;0;Ukulele;0
6D;2189;r;Globus;0;Obstschale;0
21B;2166;l;Handy;0;Stift;0
7B;3980;l;Thermoskanne;0;Toaster;0
3B;2542;l;Stethoskop;0;Fahrradhelm;0
