pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
12B;3222;l;Fernglas;0;Kamera;0
26D;3327;r;Gluehbirne;0;Taschenlampe;0
20B;3265;l;Schuessel;0;Kissen;0
10A;3251;l;Buerste;0;Brille;1
21C;3230;r;Handy;1;Stift;1
7D;3968;r;Toaster;0;Thermoskanne;0
5D;3647;r;Foehn;0;Blackroll;0
1B;3194;l;Orange;1;Melone;0
13B;3521;l;Laptop;1;Buch;1
22B;3975;l;Feder;0;Elefant;0
3A;3386;l;Fahrradhelm;0;Stethoskop;0
16D;2370;r;Geldbeutel;0;Muetze;0
19C;2052;r;Hut;0;Trommel;0
8A;2961;l;Uhr;0;Marmelade;0
25D;3965;r;Kaffemuehle;0;Kerze;0
6C;2619;r;Obstschale;1;Globus;1
15D;3727;r;Wasserglas;0;Handtuch;0
17B;3914;l;Schuh;0;Erdbeeren;0
4C;2951;r;Ventilator;0;Kiste;0
11D;2512;r;Eimer;0;Stuhl;0
14B;3396;l;Ordner;0;Kopfhoerer;0
18A;3073;l;Ukulele;0;Handbesen;0
9B;2950;l;Wasserflasche;0;Tasse;0
2A;3563;l;Locher;0;Zollstock ;0
23A;2004;l;Hammer;0;Saege;0
24D;2913;r;Kanne;0;Blume;0
