pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
24A;2243;l;Kanne;0;Blume;0
23A;2816;l;Hammer;1;Saege;1
26B;3751;l;Taschenlampe;1;Gluehbirne;1
7C;2549;r;Thermoskanne;1;Toaster ;1
14A;3190;l;Kopfhoerer;1;Ordner;1
10C;2177;r;Brille;0;Buerste;1
6B;2212;l;Obstschale;1;Globus;0
17D;2028;r;Erdbeeren;1;Schuh;1
19B;2016;l;Hut;1;Trommel;0
25D;3967;r;Kaffemuehle;0;Kerze;0
11D;3288;r;Eimer;1;Stuhl;1
2A;3316;l;Locher;1;Zollstock ;1
21C;2216;r;Handy;0;Stift;0
13A;3449;l;Buch;1;Laptop;1
3A;3154;l;Fahrradhelm;0;Stethoskop;0
18B;2723;l;Handbesen;0;Ukulele;0
15C;2263;r;Handtuch;0;Wasserglas;0
9C;3289;r;Wasserflasche;1;Tasse;1
4A;3687;l;Kiste;1;Ventilator;1
12D;2578;r;Kamera;1;Fernglas;1
1B;3420;l;Orange;1;Melone;1
22D;2681;r;Elefant;1;Feder;1
16B;3475;l;Muetze;1;Geldbeutel;1
5C;3030;r;Blackroll;0;Foehn;1
8A;2157;l;Uhr;1;Marmelade;1
20D;2276;r;Kissen;1;Schuessel;1
