pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
12A;2241;l;Kamera;1;Fernglas;0
16B;2914;l;Muetze;0;Geldbeutel;0
1B;2457;l;Orange;1;Melone;1
10D;2211;r;Buerste;1;Brille;0
20C;2978;r;Schuessel;0;Kissen;1
18D;3126;r;Ukulele;0;Handbesen;0
7A;2615;l;Toaster ;0;Thermoskanne;0
19D;3056;r;Trommel;1;Hut;0
8C;3985;r;Marmelade;0;Uhr;0
3A;2215;l;Fahrradhelm;0;Stethoskop;1
21B;2580;l;Handy;1;Stift;1
9A;3034;l;Tasse;0;Wasserflasche;0
11C;2459;r;Stuhl;0;Eimer;0
17B;3412;l;Schuh;1;Erdbeeren;1
23A;2185;l;Hammer;0;Saege;0
6C;3860;r;Obstschale;1;Globus;1
22B;2357;l;Feder;0;Elefant;0
2A;3921;l;Locher;0;Zollstock ;0
5C;3302;r;Blackroll;0;Foehn;1
13A;2317;l;Buch;1;Laptop;1
26D;3281;r;Gluehbirne;0;Taschenlampe;0
4A;3254;l;Kiste;1;Ventilator;0
25B;2883;l;Kerze;1;Kaffemuehle;1
24C;3392;r;Blume;0;Kanne;0
14D;2495;r;Kopfhoerer;0;Ordner;0
15D;2330;r;Wasserglas;1;Handtuch;0
