pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
3A;2097;l;Fahrradhelm;1;Stethoskop;1
7D;3409;r;Toaster;0;Thermoskanne;1
2C;2185;r;Zollstock ;0;Locher;0
10A;2101;l;Buerste;0;Brille;0
5D;2570;r;Foehn;0;Blackroll;1
1C;2746;r;Orange;1;Melone;1
17C;3390;r;Schuh;0;Erdbeeren;1
18B;2218;l;Handbesen;0;Ukulele;0
11D;2917;r;Eimer;0;Stuhl;0
9B;2038;l;Wasserflasche;0;Tasse;1
15C;3811;r;Handtuch;0;Wasserglas;1
4D;2097;r;Kiste ;0;Ventilator;1
21B;2015;l;Handy;0;Stift;0
13D;3918;r;Buch;1;Laptop;0
8A;3094;l;Uhr;0;Marmelade;0
6A;2347;l;Globus;0;Obstschale;0
14A;3573;l;Kopfhoerer;0;Ordner;0
19A;2673;l;Trommel;0;Hut;1
24C;3056;r;Blume;1;Kanne;1
12C;2773;r;Fernglas;0;Kamera;0
23A;2287;l;Hammer;1;Saege;1
26A;2967;l;Gluehbirne;0;Taschenlampe;0
22B;3274;l;Feder;0;Elefant;0
20C;3887;r;Schuessel;0;Kissen;0
25B;2584;l;Kerze;0;Kaffemuehle;1
16D;2016;r;Geldbeutel;1;Muetze;1
