pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
25B;3973;l;Kerze;0;Kaffemuehle;0
11C;2314;r;Stuhl;0;Eimer;1
2C;3115;r;Zollstock ;0;Locher;0
9D;2197;r;Tasse;1;Wasserflasche;0
24A;3731;l;Kanne;0;Blume;1
3C;2514;r;Stethoskop;1;Fahrradhelm;1
14C;2723;r;Ordner;0;Kopfhoerer;1
10A;2103;l;Buerste;0;Brille;1
15D;2881;r;Wasserglas;1;Handtuch;0
16B;2407;l;Muetze;0;Geldbeutel;0
13A;3798;l;Buch;1;Laptop;1
6D;3817;r;Globus;0;Obstschale;0
7B;2972;l;Thermoskanne;0;Toaster;0
23B;3280;l;Saege;0;Hammer;0
21C;2905;r;Handy;1;Stift;1
8B;3857;l;Marmelade;0;Uhr;0
5C;2114;r;Blackroll;0;Foehn;0
19A;3340;l;Trommel;0;Hut;0
22B;3749;l;Feder;0;Elefant;0
20D;2420;r;Kissen;0;Schuessel;0
1D;2247;r;Melone;0;Orange;0
17C;3733;r;Schuh;0;Erdbeeren;0
26D;3881;r;Gluehbirne;1;Taschenlampe;1
18B;3863;l;Handbesen;1;Ukulele;0
12B;3495;l;Fernglas;0;Kamera;0
4D;3434;r;Kiste ;0;Ventilator;1
