pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
16A;2899;l;Geldbeutel;0;Muetze;0
17A;2597;l;Erdbeeren;0;Schuh;0
23C;3439;r;Hammer;0;Saege;1
13A;2368;l;Buch;1;Laptop;0
10D;2028;r;Buerste;0;Brille;1
2C;2431;r;Zollstock ;0;Locher;0
14B;3490;l;Ordner;0;Kopfhoerer;0
11A;2560;l;Eimer;0;Stuhl;0
8D;2622;r;Uhr;0;Marmelade;0
5B;2389;l;Blackroll;0;Foehn;0
25C;2873;r;Kerze;1;Kaffeemuehle;1
1C;3010;r;Orange;1;Melone;1
21A;2585;l;Stift;0;Handy;1
22D;3070;r;Elefant;1;Feder;0
18B;2751;l;Handbesen;0;Ukulele;1
9B;2383;l;Wasserflasche;0;Tasse;1
26B;2488;l;Taschenlampe;1;Gluehbirne;0
7D;2372;r;Toaster;0;Thermoskanne;0
15C;3513;r;Handtuch;0;Wasserglas;0
4C;3977;r;Ventilator;1;Kiste;0
24B;3052;l;Blume;0;Kanne ;0
12B;2184;l;Fernglas;1;Kamera;0
6B;2872;l;Obstschale;0;Globus;0
3A;3166;l;Fahrradhelm;0;Stethoskop;0
19C;3669;r;Hut;0;Trommel;0
20C;3003;r;Schuessel;1;Kissen;1
