pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
17A;2953;l;Erdbeeren;0;Schuh;1
8A;2861;l;Uhr;0;Marmelade;1
12C;2135;r;Fernglas;0;Kamera;1
16D;3067;r;Geldbeutel;0;Muetze;0
1C;3651;r;Orange;1;Melone;1
19B;2764;l;Hut;1;Trommel;0
2C;3562;r;Zollstock ;1;Locher;0
11C;3903;r;Stuhl;1;Eimer;0
3B;3754;l;Stethoskop;0;Fahrradhelm;0
15C;2025;r;Handtuch;0;Wasserglas;1
24B;3563;l;Blume;0;Kanne ;0
18A;3439;l;Ukulele;0;Handbesen;0
6C;2560;r;Obstschale;0;Globus;0
13A;3262;l;Buch;0;Laptop;0
25D;2029;r;Kaffemuehle;0;Kerze;0
7A;3748;l;Toaster ;0;Thermoskanne;0
10B;3321;l;Brille;0;Buerste;0
23D;2803;r;Saege;1;Hammer;0
26D;3649;r;Gluehbirne;0;Taschenlampe;0
5D;3499;r;Foehn;1;Blackroll;0
14B;2495;l;Ordner;0;Kopfhoerer;0
22B;2171;l;Feder;0;Elefant;0
4C;2232;r;Ventilator;1;Kiste;0
21B;3383;l;Handy;0;Stift;0
9D;2913;r;Tasse;0;Wasserflasche;0
20D;2349;r;Kissen;0;Schuessel;0
