pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
2B;3504;l;Zollstock;0;Locher;0
26B;3409;l;Taschenlampe;0;Gluehbirne;0
3D;3267;r;Fahrradhelm;0;Stethoskop;0
24A;3237;l;Kanne;0;Blume;1
8C;2154;r;Marmelade;0;Uhr;0
23D;3208;r;Saege;0;Hammer;0
1D;3584;r;Melone;0;Orange;0
15B;2488;l;Handtuch;0;Wasserglas;0
4C;3739;r;Ventilator;0;Kiste;0
25C;2985;r;Kerze;0;Kaffeemuehle;0
13B;2304;l;Laptop;0;Buch;0
17C;2768;r;Schuh;0;Erdbeeren;0
19B;3245;l;Hut;0;Trommel;0
20D;2603;r;Kissen;0;Schuessel;0
6B;2611;l;Obstschale;0;Globus;0
11C;2083;r;Stuhl;0;Eimer;0
5C;2046;r;Blackroll;0;Foehn;0
10C;2985;r;Brille;0;Buerste;0
16D;2958;r;Geldbeutel;0;Muetze;0
14B;2112;l;Ordner;0;Kopfhoerer;0
21C;3905;r;Handy;0;Stift;0
12D;2506;r;Kamera;1;Fernglas;1
7D;3646;r;Toaster;0;Thermoskanne;0
9C;2993;r;Wasserflasche;1;Tasse;0
18C;2337;r;Handbesen;0;Ukulele;0
22A;3358;l;Elefant;0;Feder;0
