pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
10B;2552;l;Brille;0;Buerste;1
1B;3641;l;Orange;1;Melone;0
24B;3340;l;Blume;0;Kanne ;0
23A;3216;l;Hammer;0;Saege;0
15C;3859;r;Handtuch;0;Wasserglas;0
16D;3187;r;Geldbeutel;0;Muetze;0
6D;3035;r;Globus;1;Obstschale;0
5A;2725;l;Foehn;1;Blackroll;0
12A;2657;l;Kamera;1;Fernglas;1
26C;2406;r;Taschenlampe;1;Gluehbirne;1
20D;2245;r;Kissen;0;Schuessel;0
3A;3727;l;Fahrradhelm;1;Stethoskop;1
21A;2123;l;Stift;1;Handy;1
7C;3413;r;Thermoskanne;0;Toaster ;0
13D;2552;r;Buch;1;Laptop;1
14B;3636;l;Ordner;1;Kopfhoerer;1
8D;2577;r;Uhr;1;Marmelade;1
9B;3434;l;Wasserflasche;1;Tasse;1
19A;2620;l;Trommel;1;Hut;1
4D;3304;r;Kiste ;1;Ventilator;1
22A;2219;l;Elefant;1;Feder;1
11A;3178;l;Eimer;0;Stuhl;0
17D;3557;r;Erdbeeren;1;Schuh;1
18A;2230;l;Ukulele;1;Handbesen;0
25C;3286;r;Kerze;0;Kaffeemuehle;0
2B;3933;l;Zollstock;0;Locher;0
