pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
17B;2080;l;Schuh;0;Erdbeeren;0
1C;2403;r;Orange;1;Melone;0
6B;2932;l;Obstschale;0;Globus;0
19C;3664;r;Hut;0;Trommel;0
15B;2705;l;Handtuch;0;Wasserglas;0
18B;3313;l;Handbesen;0;Ukulele;0
2A;3702;l;Locher;0;Zollstock ;0
9D;3508;r;Tasse;0;Wasserflasche;0
23A;2381;l;Hammer;0;Saege;1
4A;2863;l;Kiste;1;Ventilator;0
14C;2115;r;Ordner;1;Kopfhoerer;0
5A;2818;l;Foehn;0;Blackroll;1
20D;2652;r;Kissen;0;Schuessel;0
10B;3744;l;Brille;0;Buerste;0
11A;3637;l;Eimer;0;Stuhl;0
22D;3481;r;Elefant;0;Feder;0
21D;2738;r;Stift;1;Handy;1
24D;2673;r;Kanne;1;Blume;0
3A;2157;l;Fahrradhelm;0;Stethoskop;0
13B;3067;l;Laptop;1;Buch;1
7A;2477;l;Toaster ;0;Thermoskanne;0
26B;3410;l;Taschenlampe;0;Gluehbirne;0
16B;2756;l;Muetze;0;Geldbeutel;0
12A;2746;l;Kamera;1;Fernglas;1
25D;2979;r;Kaffemuehle;0;Kerze;0
8B;3805;l;Marmelade;0;Uhr;0
