pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
18C;3298;r;Handbesen;0;Ukulele;1
9A;3301;l;Tasse;1;Wasserflasche;0
14A;2373;l;Kopfhoerer;0;Ordner;0
19C;2737;r;Hut;0;Trommel;0
3C;2152;r;Stethoskop;0;Fahrradhelm;0
12C;3907;r;Fernglas;1;Kamera;1
4D;3406;r;Kiste ;0;Ventilator;0
11B;2769;l;Stuhl;0;Eimer;0
7B;3985;l;Thermoskanne;0;Toaster;0
5C;2619;r;Blackroll;0;Foehn;0
10A;2983;l;Buerste;0;Brille;0
23B;3493;l;Saege;1;Hammer;1
21C;3998;r;Handy;0;Stift;0
24C;2777;r;Blume;1;Kanne;1
17B;2286;l;Schuh;0;Erdbeeren;0
16C;2201;r;Muetze;0;Geldbeutel;1
6B;3825;l;Obstschale;0;Globus;1
15D;2461;r;Wasserglas;1;Handtuch;0
20C;3015;r;Schuessel;0;Kissen;0
25C;3068;r;Kerze;1;Kaffeemuehle;1
8B;3755;l;Marmelade;0;Uhr;0
22A;3989;l;Elefant;0;Feder;0
2A;3123;l;Locher;0;Zollstock ;1
26B;3326;l;Taschenlampe;0;Gluehbirne;0
13A;2243;l;Buch;1;Laptop;1
1D;3154;r;Melone;0;Orange;0
