pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
19B;2076;l;Hut;1;Trommel;0
6C;3925;r;Obstschale;1;Globus;0
3D;3059;r;Fahrradhelm;0;Stethoskop;1
21D;2690;r;Stift;1;Handy;1
17C;3063;r;Schuh;1;Erdbeeren;1
25A;3983;l;Kaffeemuehle;0;Kerze;0
13C;3118;r;Laptop;1;Buch;0
5C;3070;r;Blackroll;1;Foehn;0
24C;3934;r;Blume;1;Kanne;0
9B;3632;l;Wasserflasche;0;Tasse;1
26D;2844;r;Gluehbirne;0;Taschenlampe;0
7D;3219;r;Toaster;1;Thermoskanne;0
8C;3818;r;Marmelade;0;Uhr;1
22A;2725;l;Elefant;1;Feder;0
1D;2612;r;Melone;1;Orange;0
14B;3320;l;Ordner;0;Kopfhoerer;0
18A;2301;l;Ukulele;0;Handbesen;0
23A;3500;l;Hammer;1;Saege;1
12D;2813;r;Kamera;0;Fernglas;1
10D;2983;r;Buerste;0;Brille;0
16D;3953;r;Geldbeutel;0;Muetze;0
11D;2058;r;Eimer;0;Stuhl;0
2B;3095;l;Zollstock;0;Locher;0
15D;2744;r;Wasserglas;0;Handtuch;0
20D;3802;r;Kissen;0;Schuessel;1
4C;2267;r;Ventilator;1;Kiste;0
