pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
15B;3656;l;Handtuch;0;Wasserglas;0
25B;2694;l;Kerze;0;Kaffemuehle;0
16C;3245;r;Muetze;1;Geldbeutel;0
1A;2738;l;Melone;1;Orange;1
18C;3184;r;Handbesen;1;Ukulele;0
7A;3958;l;Toaster ;0;Thermoskanne;0
10C;3080;r;Brille;0;Buerste;0
17A;3633;l;Erdbeeren;1;Schuh;1
8A;3071;l;Uhr;0;Marmelade;0
20A;2375;l;Kissen;0;Schuessel;1
3B;3959;l;Stethoskop;0;Fahrradhelm;0
23D;2838;r;Saege;0;Hammer;1
26C;3998;r;Taschenlampe;1;Gluehbirne;1
24B;2397;l;Blume;0;Kanne ;0
9C;2109;r;Wasserflasche;0;Tasse;0
14D;2295;r;Kopfhoerer;0;Ordner;1
11C;2830;r;Stuhl;0;Eimer;0
5A;3651;l;Foehn;0;Blackroll;1
19A;2695;l;Trommel;0;Hut;0
22B;2643;l;Feder;0;Elefant;0
12D;3737;r;Kamera;0;Fernglas;0
4B;2172;l;Ventilator;0;Kiste ;0
2D;3177;r;Locher;0;Zollstock;0
6C;2581;r;Obstschale;0;Globus;0
13A;2214;l;Buch;0;Laptop;0
21A;2984;l;Stift;1;Handy;0
