pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
23A;2072;l;Hammer;1;Saege;1
5C;3178;r;Blackroll;1;Foehn;1
12B;3474;l;Fernglas;1;Kamera;1
16B;3569;l;Muetze;0;Geldbeutel;0
18D;2108;r;Ukulele;0;Handbesen;0
17A;2751;l;Erdbeeren;1;Schuh;1
19D;3732;r;Trommel;0;Hut;0
11D;3396;r;Eimer;1;Stuhl;1
1A;2409;l;Melone;1;Orange;1
6C;2719;r;Obstschale;1;Globus;1
26A;3245;l;Gluehbirne;1;Taschenlampe;1
7D;3407;r;Toaster;0;Thermoskanne;0
3A;2230;l;Fahrradhelm;0;Stethoskop;0
14A;3410;l;Kopfhoerer;0;Ordner;0
22A;2197;l;Elefant;0;Feder;0
2D;2052;r;Locher;0;Zollstock;0
4D;2485;r;Kiste ;1;Ventilator;1
13C;2201;r;Laptop;1;Buch;1
25D;3247;r;Kaffemuehle;1;Kerze;0
9A;3608;l;Tasse;1;Wasserflasche;1
10D;2979;r;Buerste;0;Brille;0
24B;3845;l;Blume;1;Kanne ;0
21A;2860;l;Stift;0;Handy;0
8A;2744;l;Uhr;0;Marmelade;0
20B;2022;l;Schuessel;1;Kissen;1
15A;3381;l;Wasserglas;1;Handtuch;0
