pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
16A;3308;l;Geldbeutel;0;Muetze;0
15A;3808;l;Wasserglas;0;Handtuch;0
7B;2869;l;Thermoskanne;0;Toaster;1
11B;2196;l;Stuhl;0;Eimer;0
19A;3962;l;Trommel;0;Hut;0
3C;2421;r;Stethoskop;0;Fahrradhelm;0
8C;3088;r;Marmelade;0;Uhr;0
14A;3093;l;Kopfhoerer;0;Ordner;0
9B;3879;l;Wasserflasche;0;Tasse;0
20B;2650;l;Schuessel;1;Kissen;1
13D;3492;r;Buch;0;Laptop;0
12A;2616;l;Kamera;1;Fernglas;0
18D;3223;r;Ukulele;0;Handbesen;0
25C;3089;r;Kerze;0;Kaffeemuehle;0
22B;2440;l;Feder;1;Elefant;1
2A;2531;l;Locher;0;Zollstock ;0
5C;2793;r;Blackroll;0;Foehn;1
1D;3603;r;Melone;0;Orange;0
23B;2167;l;Saege;1;Hammer;0
26C;3397;r;Taschenlampe;0;Gluehbirne;0
4B;3621;l;Ventilator;0;Kiste ;0
17D;2695;r;Erdbeeren;0;Schuh;1
24C;2137;r;Blume;0;Kanne;0
21B;3531;l;Handy;0;Stift;0
10D;3023;r;Buerste;0;Brille;0
6A;3075;l;Globus;0;Obstschale;0
