pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
14B;2289;l;Ordner;1;Kopfhoerer;1
18D;2981;r;Ukulele;0;Handbesen;1
4D;2837;r;Kiste ;1;Ventilator;1
24D;3384;r;Kanne;0;Blume;0
7D;2736;r;Toaster;0;Thermoskanne;0
19C;3239;r;Hut;0;Trommel;0
22D;3427;r;Elefant;1;Feder;1
15A;3351;l;Wasserglas;1;Handtuch;0
23A;2497;l;Hammer;1;Saege;1
17A;3387;l;Erdbeeren;0;Schuh;1
26B;3269;l;Taschenlampe;1;Gluehbirne;1
21D;2263;r;Stift;0;Handy;1
10C;2145;r;Brille;0;Buerste;0
6C;2089;r;Obstschale;1;Globus;1
13A;2906;l;Buch;0;Laptop;0
11C;2858;r;Stuhl;0;Eimer;0
2C;3789;r;Zollstock ;0;Locher;0
12C;3760;r;Fernglas;0;Kamera;0
20C;2081;r;Schuessel;0;Kissen;0
16A;3335;l;Geldbeutel;0;Muetze;0
25B;2934;l;Kerze;0;Kaffemuehle;0
1D;3597;r;Melone;1;Orange;1
8B;2606;l;Marmelade;0;Uhr;0
3A;3876;l;Fahrradhelm;0;Stethoskop;0
9C;2206;r;Wasserflasche;1;Tasse;0
5D;3071;r;Foehn;1;Blackroll;1
