pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
23A;3835;l;Hammer;1;Saege;1
16A;3231;l;Geldbeutel;0;Muetze;0
17B;3392;l;Schuh;0;Erdbeeren;0
9B;2543;l;Wasserflasche;0;Tasse;0
26A;3763;l;Gluehbirne;0;Taschenlampe;0
2C;2351;r;Zollstock ;0;Locher;0
7C;2482;r;Thermoskanne;0;Toaster ;0
12B;3983;l;Fernglas;0;Kamera;0
4A;2152;l;Kiste;0;Ventilator;0
22B;3173;l;Feder;0;Elefant;0
21A;2698;l;Stift;0;Handy;0
8B;2722;l;Marmelade;1;Uhr;0
24C;3517;r;Blume;0;Kanne;0
18A;3178;l;Ukulele;0;Handbesen;0
11B;3370;l;Stuhl;0;Eimer;0
5D;3137;r;Foehn;1;Blackroll;0
19A;3239;l;Trommel;0;Hut;1
1D;2589;r;Melone;0;Orange;0
10A;2535;l;Buerste;1;Brille;0
14C;3916;r;Ordner;1;Kopfhoerer;1
15D;2690;r;Wasserglas;0;Handtuch;0
6B;3517;l;Obstschale;0;Globus;0
13B;2436;l;Laptop;0;Buch;1
3B;3945;l;Stethoskop;0;Fahrradhelm;0
20D;2465;r;Kissen;0;Schuessel;1
25A;3312;l;Kaffeemuehle;0;Kerze;0
