pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
8D;3515;r;Uhr;0;Marmelade;0
24B;3942;l;Blume;0;Kanne ;0
20C;3941;r;Schuessel;0;Kissen;0
21A;3289;l;Stift;0;Handy;0
4C;2070;r;Ventilator;0;Kiste;0
1C;2660;r;Orange;0;Melone;1
12D;3220;r;Kamera;0;Fernglas;0
7C;2821;r;Thermoskanne;0;Toaster ;1
5A;3020;l;Foehn;1;Blackroll;0
22A;2577;l;Elefant;0;Feder;0
23C;3988;r;Hammer;1;Saege;0
25B;3223;l;Kerze;0;Kaffemuehle;0
26D;3108;r;Gluehbirne;0;Taschenlampe;0
19B;2803;l;Hut;0;Trommel;0
16D;3701;r;Geldbeutel;0;Muetze;0
17B;2681;l;Schuh;0;Erdbeeren;0
10D;3217;r;Buerste;0;Brille;0
13C;3501;r;Laptop;1;Buch;0
14D;2404;r;Kopfhoerer;0;Ordner;0
18C;2604;r;Handbesen;0;Ukulele;0
15C;2654;r;Handtuch;0;Wasserglas;0
9C;3537;r;Wasserflasche;0;Tasse;0
6C;2971;r;Obstschale;0;Globus;0
11B;2103;l;Stuhl;0;Eimer;0
3A;2452;l;Fahrradhelm;0;Stethoskop;0
2A;3170;l;Locher;0;Zollstock ;0
