trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;5A;13343,1;959,2;593,2;1;8516;0,576796618130578;0,156763738844528;0;0,0637623297322687;0,4;0,2;0;0,0857142857142857;249;1602;NA;2360;0;0;0;0,136363636363636;0,142857142857143;0,125
2;15A;13893,6;947,1;581,8;1;8254;0,268354737097165;0,114974557790162;0,0745093288102738;0,0938938696389629;0,230769230769231;0,128205128205128;0,0512820512820513;0,102564102564103;236;985;1431;1719;0,0769230769230769;0;0,25;0;0;0
3;23C;12609,4;955,7;604,3;1;8021;0,303453434733824;0,0371524747537713;0,0740556040393966;0,131903752649296;0,289473684210526;0,0789473684210526;0,0789473684210526;0,131578947368421;374;256;2834;1740;0;0;0;0;0;0
4;20B;12876,1;954,2;583,6;1;8624;0,240375695732839;0,00892857142857143;0,107954545454545;0,217764378478664;0,257142857142857;0,0285714285714286;0,0857142857142857;0,2;200;9923;747;7283;0,111111111111111;0,111111111111111;NA;0;0;NA
5;25C;13910,3;956,5;574;1;8423;0,313308797340615;0,0465392378012585;0,118247655229728;0,355455300961653;0,342857142857143;0,0571428571428571;0,0857142857142857;0,314285714285714;233;4100;570;832;0,0714285714285714;0;0,333333333333333;0;0;0
6;24A;13293,2;944,4;580;1;8121;0,206501662356853;0,0882896195049871;0,0845954931658663;0,205639699544391;0,125;0,1;0,075;0,2;377;1791;2318;1560;0;0;0;0,3;0,4;0,2
7;7A;13359,8;951,7;587,5;1;8594;0,570397952059576;0,0978589713753782;0,159529904584594;0,0600418896904817;0,540540540540541;0,0810810810810811;0,189189189189189;0,0810810810810811;214;1070;4278;3844;0,0909090909090909;0,105263157894737;0;0,0454545454545455;0,0526315789473684;0
8;9C;13293,2;956,9;594,7;1;8231;0,451828453407848;0,062203863443081;0,0834649495808529;0,372372737212975;0,454545454545455;0,0909090909090909;0,0909090909090909;0,333333333333333;225;4138;866;1171;0,111111111111111;0,0714285714285714;0,25;0,0555555555555556;0;0,25
9;1B;12992,9;948,3;593,1;1;8285;0,543512371756186;0,147978273989137;0,0981291490645745;0,124924562462281;0,515151515151515;0,151515151515152;0,0909090909090909;0,121212121212121;233;3502;534;1192;0,0434782608695652;0,0588235294117647;0;0,0869565217391304;0,117647058823529;0
10;17D;13393,2;941,2;589,9;1;8823;0,223846764139182;0,110393290264083;0,126147568854131;0,485435792814236;0,428571428571429;0,0952380952380952;0,142857142857143;0,19047619047619;398;239;2180;737;0,0909090909090909;0,111111111111111;0;0,181818181818182;0,222222222222222;0
11;16B;12876,2;956;607,8;1;8981;0,523438369891994;0,168355416991426;0,111234829083621;0,0632446275470438;0,461538461538462;0,153846153846154;0,115384615384615;0,115384615384615;215;4503;707;1838;0;0;0;0;0;0
12;18B;13860,3;947,8;609,1;1;9125;0,176767123287671;0,103342465753425;0,435835616438356;0,0223561643835616;0,222222222222222;0,277777777777778;0,277777777777778;0,0555555555555556;377;257;749;1560;0,111111111111111;0;0,2;0;0;0
13;22B;12309,1;936,1;593,8;1;8106;0,303355539106834;0,0207253886010363;0,100172711571675;0,207747347643721;0,333333333333333;0,0606060606060606;0,121212121212121;0,181818181818182;199;1093;565;1240;0,230769230769231;0,272727272727273;0;0,0769230769230769;0;0,5
14;10B;13326,5;944,4;604,2;1;8302;0,527583714767526;0,139966273187184;0,0680558901469525;0,0642013972536738;0,486486486486487;0,162162162162162;0,0540540540540541;0,0810810810810811;201;3466;1028;1681;0,0416666666666667;0,0588235294117647;0;0;0;0
15;26A;12142,3;942,4;603,9;1;8489;0,318647661679821;0,22334786193898;0,150665567204618;0,0831664507009071;0,333333333333333;0,205128205128205;0,153846153846154;0,0769230769230769;201;3518;693;1828;0,0476190476190476;0,0833333333333333;0;0;0;0
16;3A;13459,9;942,8;611,4;1;8230;0,39501822600243;0,118833535844471;0;0,106439854191981;0,384615384615385;0,128205128205128;0;0,102564102564103;216;2739;NA;1270;0;0;0;0,05;0,0714285714285714;0
17;19A;13376,6;941,6;599,4;1;8212;0,278616658548466;0,0300779347296639;0,0836580613735996;0,154895275207014;0,25;0,05;0,075;0,175;243;6324;615;1210;0,0833333333333333;0,1;0;0,0833333333333333;0,1;0
18;13C;13359,9;938,9;615;1;8400;0,479047619047619;0,192261904761905;0,101547619047619;0,0639285714285714;0,432432432432432;0,162162162162162;0,0810810810810811;0,108108108108108;236;4463;693;1674;0;0;0;0,0434782608695652;0,0625;0
19;8D;13343,2;945,7;610,1;1;8551;0,40650216348965;0,362881534323471;0,119050403461583;0,0929715822710794;0,432432432432432;0,351351351351351;0,108108108108108;0,0810810810810811;221;984;2388;2155;0,0344827586206897;0,0666666666666667;0;0,0344827586206897;0;0,0714285714285714
20;12D;13076,3;941;607,8;1;8545;0,59672322995904;0,129081334113517;0,115857226448215;0,115974253949678;0,470588235294118;0,176470588235294;0,176470588235294;0,117647058823529;214;2627;599;994;0,136363636363636;0,133333333333333;0,142857142857143;0;0;0
21;4B;13910,3;945,4;613,9;1;8290;0,339445114595899;0,0332931242460796;0,0586248492159228;0,0939686369119421;0,3;0,05;0,075;0,1;203;843;615;2968;0,0714285714285714;0,0909090909090909;0;0;0;0
22;2A;12926,2;931,4;599,9;1;9357;0,779095864058993;0,0265042214384952;0;0,0393288447151865;0,647058823529412;0,117647058823529;0;0,0588235294117647;184;2458;NA;2038;0;0;0;0;0;0
23;6C;13743,5;936,2;623;1;8664;0,354455216989843;0,219759926131117;0,286126500461681;0,109533702677747;0,321428571428571;0,142857142857143;0,285714285714286;0,178571428571429;334;214;1591;796;0,230769230769231;0,222222222222222;0,25;0,153846153846154;0,222222222222222;0
