trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;14A;13209,7;967,612068965517;549,305172413793;1;7528;0,304994686503719;0,0103613177470776;0,159537725823592;0,132571732199787;0,24390243902439;0,024390243902439;0,146341463414634;0,146341463414634;394;288;1363;2298;0;0;0;0;0;0
2;10B;12942,8;962,8;573,6;1;8055;0,130850403476102;0,013780260707635;0,0471756672873991;0,0189944134078212;0,0810810810810811;0,027027027027027;0,0540540540540541;0,027027027027027;296;128;1128;2384;0;0;0;0;0;0
3;17A;13059,6;970,500801465617;563,671738804041;0;5861;0,183074560655178;0;0,120286640505033;0,106637092646306;0,166666666666667;0;0,133333333333333;0,133333333333333;388;NA;1474;1019;0,25;0,25;NA;0,25;0,25;NA
4;7C;12359,1;973,7;547,2;1;7878;0,22036049758822;0,0246255394770246;0,0936785986290937;0,0544554455445545;0,157894736842105;0,0263157894736842;0,105263157894737;0,0526315789473684;405;4714;1242;905;0;0;0;0,166666666666667;0,2;0
5;4B;12192,3;972,6;560,6;1;7673;0,133845953342891;0,0682914114427212;0,0973543594421999;0,0427472957122377;0,0789473684210526;0,105263157894737;0,105263157894737;0,0263157894736842;460;192;822;4901;0,125;0,333333333333333;0;0;0;0
6;25D;13393,1;970,7;564,7;1;7220;0,341135734072022;0,0601108033240997;0,092797783933518;0,0228531855955679;0,264705882352941;0,0882352941176471;0,0882352941176471;0,0294117647058824;5043;575;1330;1723;0,166666666666667;0;0,5;0;0;0
7;21A;13726,7;975,1;563,1;1;8155;0,0917228694052728;0,143715511955855;0,0521152667075414;0;0,0810810810810811;0,216216216216216;0,0540540540540541;0;350;199;1725;NA;0;0;0;0;0;0
8;16B;13426,6;973,7;549;1;8372;0,0959149546106068;0;0,148829431438127;0,0425226946966077;0,0833333333333333;0;0,166666666666667;0,0555555555555556;180;NA;1592;4523;0;0;0;0;0;0
9;13B;12559,2;967,8;578,6;1;7649;0,0821022355863512;0,0410511177931756;0,046280559550268;0,266570793567787;0,075;0,075;0,05;0,225;333;2341;874;1338;0;0;0;0;0;0
10;22D;12325,7;970,9;580,2;1;7646;0,207821082919173;0,0483913157206382;0;0,0903740517917865;0,0769230769230769;0,0512820512820513;0;0,0769230769230769;325;177;NA;1345;0;0;0;0,333333333333333;0,333333333333333;0,333333333333333
11;3D;13343,1;970,500801465617;563,671738804041;0;8118;0,135747721113575;0,230845035723085;0,0962059620596206;0,046809559004681;0,0645161290322581;0,129032258064516;0,0967741935483871;0,0645161290322581;7824;173;2566;2121;0;0;0;0;0;0
12;15D;12492,5;975,3;565,9;1;8330;0,106842737094838;0,0457382953181273;0,063265306122449;0,0213685474189676;0,105263157894737;0,0526315789473684;0,0789473684210526;0,0263157894736842;335;206;883;3043;0,166666666666667;0;0,5;0;0;0
